@relation customer_shopping_data_pre

@attribute gender=Male numeric
@attribute age numeric
@attribute price numeric
@attribute category {Clothing,Shoes,Books,Cosmetics,'Food & Beverage',Toys,Technology,Souvenir}

@data
0,28,1500.4,Clothing
1,21,1800.51,Shoes
1,20,300.08,Clothing
0,66,3000.85,Shoes
0,53,60.6,Books
0,28,1500.4,Clothing
0,49,40.66,Cosmetics
0,32,600.16,Clothing
1,69,900.24,Clothing
0,60,600.16,Clothing
0,36,10.46,'Food & Beverage'
0,29,15.15,Books
0,67,143.36,Toys
1,25,600.16,Clothing
0,67,600.16,Clothing
1,24,3000.85,Shoes
1,65,30.3,Books
0,42,15.69,'Food & Beverage'
0,46,600.16,Clothing
1,24,143.36,Toys
1,23,300.08,Clothing
0,27,5.23,'Food & Beverage'
1,52,600.16,Clothing
1,44,5250,Technology
0,42,75.75,Books
1,51,71.68,Toys
0,25,203.3,Cosmetics
1,50,2400.68,Shoes
0,65,1800.51,Shoes
1,29,121.98,Cosmetics
0,66,107.52,Toys
1,23,300.08,Clothing
0,32,1800.51,Shoes
1,51,1200.32,Clothing
0,66,2400.68,Shoes
1,68,5.23,'Food & Beverage'
1,43,1500.4,Clothing
0,59,600.16,Clothing
1,54,600.16,Clothing
1,24,300.08,Clothing
0,49,15.69,'Food & Beverage'
1,67,81.32,Cosmetics
0,48,121.98,Cosmetics
0,40,2400.68,Shoes
0,41,1800.51,Shoes
1,46,75.75,Books
0,19,121.98,Cosmetics
0,43,1200.32,Clothing
1,18,121.98,Cosmetics
0,22,75.75,Books
0,61,203.3,Cosmetics
0,41,45.45,Books
0,53,81.32,Cosmetics
0,43,4200,Technology
0,45,15.69,'Food & Beverage'
0,29,300.08,Clothing
1,43,71.68,Toys
0,19,1200.32,Clothing
0,67,15.69,'Food & Beverage'
0,36,60.6,Books
1,64,1500.4,Clothing
0,33,300.08,Clothing
0,33,1200.32,Clothing
1,66,1200.32,Clothing
0,29,162.64,Cosmetics
1,22,107.52,Toys
0,63,15.69,'Food & Beverage'
0,24,58.65,Souvenir
0,24,203.3,Cosmetics
0,44,5250,Technology
1,34,3000.85,Shoes
0,47,162.64,Cosmetics
1,38,26.15,'Food & Beverage'
0,57,3000.85,Shoes
1,67,107.52,Toys
1,41,35.19,Souvenir
0,40,1500.4,Clothing
0,69,2400.68,Shoes
0,47,26.15,'Food & Beverage'
0,53,20.92,'Food & Beverage'
1,40,71.68,Toys
1,60,162.64,Cosmetics
1,30,23.46,Souvenir
0,66,600.16,Clothing
1,22,5.23,'Food & Beverage'
1,53,10.46,'Food & Beverage'
0,52,1500.4,Clothing
1,26,3000.85,Shoes
1,66,5.23,'Food & Beverage'
1,65,1200.32,Clothing
0,43,2100,Technology
0,59,35.84,Toys
0,30,58.65,Souvenir
0,25,81.32,Cosmetics
0,29,107.52,Toys
0,19,600.16,Clothing
1,62,1500.4,Clothing
1,39,15.69,'Food & Beverage'
0,33,900.24,Clothing
0,26,20.92,'Food & Beverage'
1,43,3150,Technology
0,40,15.69,'Food & Beverage'
1,55,1200.32,Clothing
0,24,1500.4,Clothing
1,24,40.66,Cosmetics
0,30,26.15,'Food & Beverage'
1,34,1500.4,Clothing
0,64,1500.4,Clothing
0,57,1500.4,Clothing
1,18,162.64,Cosmetics
0,26,1200.32,Clothing
0,19,15.69,'Food & Beverage'
0,22,45.45,Books
1,48,300.08,Clothing
0,56,58.65,Souvenir
1,35,600.16,Clothing
0,60,143.36,Toys
0,32,300.08,Clothing
1,27,1200.32,Clothing
0,56,600.16,Clothing
1,35,162.64,Cosmetics
0,68,300.08,Clothing
0,64,2100,Technology
0,60,143.36,Toys
1,64,179.2,Toys
0,41,900.24,Clothing
1,30,26.15,'Food & Beverage'
1,40,300.08,Clothing
0,29,600.16,Clothing
1,25,900.24,Clothing
0,60,1200.32,Clothing
0,42,26.15,'Food & Beverage'
1,54,5.23,'Food & Beverage'
0,50,1500.4,Clothing
1,54,300.08,Clothing
0,45,60.6,Books
0,40,40.66,Cosmetics
1,24,45.45,Books
1,40,1200.32,Clothing
0,32,2100,Technology
0,28,900.24,Clothing
0,22,35.84,Toys
0,21,300.08,Clothing
0,31,600.16,Clothing
0,61,15.69,'Food & Beverage'
0,67,81.32,Cosmetics
1,52,3000.85,Shoes
1,44,1200.32,Clothing
0,48,10.46,'Food & Beverage'
0,53,15.69,'Food & Beverage'
1,27,143.36,Toys
0,28,162.64,Cosmetics
0,43,143.36,Toys
1,54,58.65,Souvenir
1,41,26.15,'Food & Beverage'
0,59,203.3,Cosmetics
0,32,300.08,Clothing
0,41,58.65,Souvenir
0,30,3150,Technology
1,22,300.08,Clothing
0,51,1200.32,Clothing
0,23,10.46,'Food & Beverage'
1,40,71.68,Toys
1,37,1500.4,Clothing
0,24,300.08,Clothing
